Data size,log2(size),Seq,auto,Dynamic 1024,Guided 1024,static,Dynamic 128,Guided 128,,Seq,Auto,Dyn 1024,Guided 1024,static,Dyn 128,Guided 128,,Seq/Auto,Seq/Dyn 1024,Seq/Guided 1024,Seq/static,Seq/Dyn 128,Seq/Guided 128
16384,14,1.5E-05,2.4E-05,0.000156,3.2E-05,5E-06,3.9E-05,1.3E-05,,9.1552734375E-10,1.46484375E-09,9.521484375E-09,1.953125E-09,3.0517578125E-10,2.38037109375E-09,7.9345703125E-10,,0.625,0.096153846153846,0.46875,3,0.384615384615385,1.15384615384615
32768,15,3.9E-05,2.2E-05,5.6E-05,2E-05,1.6E-05,5.7E-05,3.4E-05,,1.190185546875E-09,6.7138671875E-10,1.708984375E-09,6.103515625E-10,4.8828125E-10,1.739501953125E-09,1.03759765625E-09,,1.77272727272727,0.696428571428571,1.95,2.4375,0.684210526315789,1.14705882352941
65536,16,7.2E-05,2.1E-05,2E-05,9.1E-05,8.7E-05,7.5E-05,4.4E-05,,1.0986328125E-09,3.204345703125E-10,3.0517578125E-10,1.3885498046875E-09,1.3275146484375E-09,1.1444091796875E-09,6.7138671875E-10,,3.42857142857143,3.6,0.791208791208791,0.827586206896552,0.96,1.63636363636364
131072,17,0.000127,3.8E-05,5.1E-05,5E-05,5.6E-05,7.6E-05,8E-05,,9.6893310546875E-10,2.899169921875E-10,3.8909912109375E-10,3.814697265625E-10,4.2724609375E-10,5.79833984375E-10,6.103515625E-10,,3.34210526315789,2.49019607843137,2.54,2.26785714285714,1.67105263157895,1.5875
262144,18,0.000213,8.8E-05,8.9E-05,8.2E-05,0.000117,0.000106,0.000134,,8.12530517578125E-10,3.35693359375E-10,3.39508056640625E-10,3.1280517578125E-10,4.46319580078125E-10,4.0435791015625E-10,5.1116943359375E-10,,2.42045454545454,2.39325842696629,2.59756097560976,1.82051282051282,2.00943396226415,1.58955223880597
524288,19,0.000411,0.00013,0.000127,0.000161,0.000177,0.000183,0.000189,,7.83920288085937E-10,2.47955322265625E-10,2.42233276367187E-10,3.07083129882812E-10,3.37600708007812E-10,3.49044799804687E-10,3.60488891601562E-10,,3.16153846153846,3.23622047244094,2.5527950310559,2.32203389830508,2.24590163934426,2.17460317460317
1048576,20,0.000819,0.00025,0.000255,0.000304,0.000302,0.000344,0.000267,,7.81059265136719E-10,2.38418579101562E-10,2.43186950683594E-10,2.899169921875E-10,2.88009643554687E-10,3.2806396484375E-10,2.54631042480469E-10,,3.276,3.21176470588235,2.69407894736842,2.71192052980132,2.38081395348837,3.06741573033708
2097152,21,0.001659,0.000511,0.001805,0.000545,0.000595,0.000695,0.000488,,7.91072845458984E-10,2.43663787841797E-10,8.60691070556641E-10,2.59876251220703E-10,2.83718109130859E-10,3.31401824951172E-10,2.32696533203125E-10,,3.24657534246575,0.919113573407202,3.04403669724771,2.78823529411765,2.38705035971223,3.39959016393443
4194304,22,0.00338,0.001074,0.001595,0.001066,0.001119,0.001509,0.001007,,8.05854797363281E-10,2.56061553955078E-10,3.80277633666992E-10,2.54154205322266E-10,2.66790390014648E-10,3.59773635864258E-10,2.40087509155273E-10,,3.14711359404097,2.11912225705329,3.17073170731707,3.02055406613047,2.23989396951624,3.35650446871897
8388608,23,0.006966,0.002104,0.002829,0.00231,0.002449,0.003644,0.002315,,8.30411911010742E-10,2.50816345214844E-10,3.3724308013916E-10,2.75373458862305E-10,2.91943550109863E-10,4.34398651123047E-10,2.75969505310059E-10,,3.31083650190114,2.46235418875928,3.01558441558442,2.84442629644753,1.91163556531284,3.00907127429806
16777216,24,0.01366,0.004071,0.006241,0.004818,0.004696,0.007486,0.004592,,8.14199447631836E-10,2.42650508880615E-10,3.71992588043213E-10,2.87175178527832E-10,2.79903411865234E-10,4.46200370788574E-10,2.73704528808594E-10,,3.35544092360599,2.18875180259574,2.83520132835201,2.90885860306644,1.82473951375902,2.97473867595819
