size;log2(size);name;cpu_time;gpu_naive_kern;accel_naive_kern;gpu_naive_tot;accel_naive_tot;gpu_shared_kern;accel_shared_kern;gpu_shared_tot;accel_shared_tot;;log(cpu_time);log(gpu_n_k);log(accel_n_k);log(gpu_n_t);log(accel_n_t);log(gpu_s_k);log(accel_s_k);log(gpu_s_t);log(accel_s_t)
262144;18;baboon.pgm;1.11E-08;6.04E-11;184.031;7.69E-10;14.4593;4.47E-11;248.559;5.48E-10;20.2998;;-7.953992862;-10.2188811;2.264890986;-9.114139741;1.160147269;-10.34942149;2.395429493;-9.261482634;1.307491759
262144;18;barbara.pgm;1E-08;6.52E-11;154.141;7.86E-10;12.7793;4.71E-11;213.485;5.61E-10;17.9205;;-7.997894441;-10.18581236;2.187918172;-9.104401783;1.106507066;-10.32726134;2.329367366;-9.251243884;1.253350123
154401;17.23632257;bird.pgm;2.49E-09;1.01E-10;24.581;8.21E-10;3.02863;7.69E-11;32.3243;6.01E-10;4.13731;;-8.604636908;-9.995235958;1.390599547;-9.085883306;0.4812462199;-10.11416629;1.509529129;-9.221354659;0.6167180629
154401;17.23632257;buffalo.pgm;3.67E-09;1.01E-10;36.4366;7.9E-10;4.63931;7.86E-11;46.6367;5.97E-10;6.14117;;-8.435837157;-9.997376118;1.561537845;-9.102289906;0.6664533932;-10.10456419;1.668727812;-9.224088235;0.7882511197
4194304;22;Carre.pgm;1.39E-08;1.61E-12;8661.65;3.63E-12;3838.92;7.78E-13;17902.7;2.34E-12;5947.05;;-7.855896144;-11.79349794;3.937600631;-11.44010534;3.584209062;-12.10881558;4.252918534;-11.63019806;3.77430159
165600;17.33734315;casablanca.pgm;2.75E-09;9.87E-11;27.8481;8E-10;3.43476;7.48E-11;36.7623;5.86E-10;4.68729;;-8.560983272;-10.00577834;1.44479557;-9.096880156;0.5358963966;-10.12638648;1.565402675;-9.231905292;0.6709218239
73800;16.1713332;coins.pgm;2.58E-09;2.16E-10;11.954;1.12E-09;2.30569;1.63E-10;15.8156;8.29E-10;3.10832;;-8.588969853;-9.666482196;1.077513251;-8.9517719;0.362800916;-9.788057588;1.199085672;-9.081496289;0.4925257228
754000;19.524205;dewey_defeats_truman.pgm;6.45E-09;2.72E-11;237.194;6.55E-10;9.8534;1.89E-11;341.53;4.83E-10;13.3545;;-8.190282756;-10.56538799;2.375103699;-9.183869443;0.9935861134;-10.72371057;2.533428858;-9.315909926;1.125627632
10668000;23.34678639;Drone_huge.pgm;1.32E-08;5.02E-12;2633.81;6.68E-10;19.7857;2.56E-12;5157.76;4.87E-10;27.1089;;-7.878952551;-11.29953599;3.420584442;-9.175302862;1.29635142;-11.5914124;3.71246113;-9.312063689;1.433111896
345600;18.39874369;Drone.pgm;6.55E-09;5.87E-11;111.594;7.53E-10;8.69269;4.1E-11;159.516;5.41E-10;12.1008;;-8.184061154;-10.23170311;2.047640845;-9.123215405;0.939154192;-10.38686461;2.202804251;-9.266874187;1.082814083
393093;18.58451115;ladyzhenskaya.pgm;6.33E-09;4.55E-11;139.234;6.91E-10;9.1683;3.27E-11;193.795;5.04E-10;12.5734;;-8.198261607;-10.34200578;2.1437453;-9.160550236;0.9622888156;-10.48560368;2.287342568;-9.297714253;1.099452732
262144;18;lena_noisy.pgm;1.08E-08;6.71E-11;161.71;7.73E-10;14.0335;4.81E-11;225.678;5.55E-10;19.5416;;-7.964750421;-10.17348529;2.208736877;-9.111914342;1.147165999;-10.31823883;2.353489224;-9.255708582;1.290960119
262144;18;lena.pgm;9.26E-09;6.17E-11;150.148;7.68E-10;12.0579;4.65E-11;199.36;5.49E-10;16.8643;;-8.033278343;-10.2097972;2.176519552;-9.114551704;1.081271678;-10.33291612;2.299638025;-9.260245749;1.226968319
154401;17.23632257;milking.pgm;3.82E-09;1.15E-10;33.1909;8.22E-10;4.65039;8.41E-11;45.4698;6.19E-10;6.17262;;-8.417719544;-9.938739829;1.521019029;-9.085209026;0.6674893761;-10.07544213;1.657723044;-9.208189393;0.7904695417
90000;16.45763738;mona_lisa.pgm;2.63E-09;1.85E-10;14.1999;1.02E-09;2.57604;1.37E-10;19.2029;7.53E-10;3.4882;;-8.580725125;-9.73300907;1.152285286;-8.991676673;0.4109526023;-9.86409172;1.28336682;-9.123325582;0.5426013778
65536;16;pepper.pgm;6.65E-09;2.37E-10;28.0465;1.2E-09;5.54537;1.72E-10;38.5742;8.57E-10;7.76411;;-8.177098687;-9.624976871;1.447878672;-8.921028714;0.7439305286;-9.763394728;1.586296928;-9.06718999;0.8900916797
118000;16.84842733;snap.pgm;2.71E-09;1.5E-10;18.078;9.1E-10;2.97275;1.15E-10;23.6271;6.62E-10;4.09074;;-8.567598387;-9.82474919;1.257150382;-9.040757256;0.4731583878;-9.941008698;1.373410419;-9.179400565;0.6118018774
307200;18.22881869;surf.pgm;6.48E-09;5.49E-11;117.905;7.22E-10;8.97202;4E-11;161.988;5.36E-10;12.0781;;-8.18862275;-10.26015324;2.071532223;-9.141512731;0.952890233;-10.39810616;2.209482843;-9.270622976;1.081998621
